Date,Hour (PST),Air Temp (C),Soil Temp (C)
11/25/2018,1100,17.5,15.9
11/25/2018,1200,19.4,15.9
11/25/2018,1300,21.3,15.9
11/25/2018,1400,22.1,16
11/25/2018,1500,21.7,16
11/25/2018,1600,19.5,16.1
11/25/2018,1700,19,16.2
11/25/2018,1800,17.9,16.3
11/25/2018,1900,17.2,16.3
11/25/2018,2000,17.1,16.4
11/25/2018,2100,16.8,16.4
11/25/2018,2200,15.6,16.4
11/25/2018,2300,16.6,16.3
11/25/2018,2400,16.3,16.3
11/26/2018,100,15.9,16.3
11/26/2018,200,15.1,16.2
11/26/2018,300,14.8,16.2
11/26/2018,400,14.5,16.2
11/26/2018,500,14.1,16.1
11/26/2018,600,13.7,16.1
11/26/2018,700,13.5,16
11/26/2018,800,14.2,16
11/26/2018,900,15.3,16
11/26/2018,1000,17,15.9
11/26/2018,1100,19.4,15.9
11/26/2018,1200,21.3,15.9
11/26/2018,1300,22.7,15.9
11/26/2018,1400,23.5,15.9
11/26/2018,1500,20.9,16
11/26/2018,1600,19.8,16.1
11/26/2018,1700,18.3,16.2
11/26/2018,1800,15.9,16.3
11/26/2018,1900,14.6,16.4
11/26/2018,2000,13.7,16.4
11/26/2018,2100,13.7,16.4
11/26/2018,2200,12.9,16.4
11/26/2018,2300,12.8,16.4
11/26/2018,2400,12,16.3
11/27/2018,100,11.5,16.3
11/27/2018,200,11.2,16.3
11/27/2018,300,10.8,16.2
11/27/2018,400,10,16.2
11/27/2018,500,9.6,16.1
11/27/2018,600,10.5,16.1
11/27/2018,700,10.9,16
11/27/2018,800,10.5,15.9
11/27/2018,900,12.7,15.9
11/27/2018,1000,15,15.8
11/27/2018,1100,16.5,15.8
11/27/2018,1200,17.5,15.8
11/27/2018,1300,17.9,15.8
11/27/2018,1400,17.4,15.9
11/27/2018,1500,16.9,15.9
11/27/2018,1600,16.1,16
11/27/2018,1700,15.1,16.1
11/27/2018,1800,14.2,16.2
11/27/2018,1900,13.8,16.3
11/27/2018,2000,12.9,16.3
11/27/2018,2100,13.5,16.3
11/27/2018,2200,12.8,16.3
11/27/2018,2300,12.6,16.2
11/27/2018,2400,12.2,16.2
11/28/2018,100,11.8,16.2
11/28/2018,200,11.1,16.1
11/28/2018,300,12.4,16.1
11/28/2018,400,13.3,16.1
11/28/2018,500,13.2,16
11/28/2018,600,12.8,16
11/28/2018,700,12.6,16
11/28/2018,800,12.3,16
11/28/2018,900,12.6,15.9
11/28/2018,1000,13.4,15.9
11/28/2018,1100,14.3,15.9
11/28/2018,1200,14.9,15.9
11/28/2018,1300,15.5,15.9
11/28/2018,1400,15.7,16
11/28/2018,1500,15.9,16
11/28/2018,1600,15.8,16.1
11/28/2018,1700,15.5,16.1
11/28/2018,1800,15.1,16.2
11/28/2018,1900,14.7,16.2
11/28/2018,2000,14.4,16.2
11/28/2018,2100,13.9,16.2
11/28/2018,2200,13.6,16.2
11/28/2018,2300,13.9,16.2
11/28/2018,2400,14,16.2
11/29/2018,100,14.3,16.1
11/29/2018,200,15.5,15.9
11/29/2018,300,15.3,15.7
11/29/2018,400,14.8,15.7
11/29/2018,500,14.3,15.7
11/29/2018,600,12.4,15.8
11/29/2018,700,12.6,15.8
11/29/2018,800,11.9,15.8
11/29/2018,900,12.8,15.8
11/29/2018,1000,13.9,15.7
11/29/2018,1100,15.9,15.7
11/29/2018,1200,14.9,15.7
11/29/2018,1300,14.1,15.7
11/29/2018,1400,14.4,15.8
11/29/2018,1500,14.4,15.8
11/29/2018,1600,13.4,15.8
11/29/2018,1700,13.5,15.9
11/29/2018,1800,13.4,15.9
11/29/2018,1900,13.6,15.9
11/29/2018,2000,13.6,15.9
11/29/2018,2100,13.2,15.9
11/29/2018,2200,12.3,15.9
11/29/2018,2300,12.1,15.9
11/29/2018,2400,12.4,15.8
11/30/2018,100,12.5,15.8
11/30/2018,200,11.7,15.8
11/30/2018,300,10.3,15.7
11/30/2018,400,9.9,15.7
11/30/2018,500,9,15.7
11/30/2018,600,9,15.6
11/30/2018,700,8.5,15.6
11/30/2018,800,8.3,15.5
11/30/2018,900,11.9,15.4
11/30/2018,1000,13.7,15.4
11/30/2018,1100,15.1,15.3
11/30/2018,1200,15.9,15.3
11/30/2018,1300,16.2,15.3
11/30/2018,1400,16.7,15.3
11/30/2018,1500,16.6,15.3
11/30/2018,1600,15.8,15.4
11/30/2018,1700,14.3,15.4
11/30/2018,1800,12.7,15.5
11/30/2018,1900,10,15.5
11/30/2018,2000,8.9,15.6
11/30/2018,2100,10.1,15.6
11/30/2018,2200,9.8,15.5
11/30/2018,2300,10,15.5
11/30/2018,2400,10.7,15.4
12/1/2018,100,10.5,15.4
12/1/2018,200,10.7,15.3
12/1/2018,300,10.2,15.2
12/1/2018,400,8.2,15.2
12/1/2018,500,9.7,15.1
12/1/2018,600,10.1,15
12/1/2018,700,8.9,15
12/1/2018,800,9.8,14.9
12/1/2018,900,11.7,14.9
12/1/2018,1000,13.5,14.8
12/1/2018,1100,14.3,14.7
12/1/2018,1200,14.6,14.7
12/1/2018,1300,14.7,14.7
12/1/2018,1400,14.3,14.8
12/1/2018,1500,13.8,14.8
12/1/2018,1600,13.6,14.8
12/1/2018,1700,12.3,14.9
12/1/2018,1800,10.9,15
12/1/2018,1900,10.2,15
12/1/2018,2000,8.5,15
